"event","bout_gold","fouler","foul_type","fight_paused","point_deduction","foul_idx","bout_key","bout_model","context","foul_type_guess","foul_resulted_in_deduction","referee_paused","round_mentioned","predicted_foul_type","fouler_model","match_foul_type","match_fouler","match_pause","match_deduction","match_all","foul_acc","fouler_acc","pause_acc","ded_acc","all_acc"
"UFC321-aspinall-gane-25-10-2025","Aliskerov vs Park","Yong Park","fence grab",FALSE,FALSE,1,"aliskerov vs park","Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5)","Aliskerov allows Park to turn so he can smack him upside the head on either side, and Park is warned for tugging on the chain links to get free.","tugging on the chain links",FALSE,FALSE,"Round 3","fence grab","Park",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC321-aspinall-gane-25-10-2025","Aliskerov vs Park","Aliskeov","fence grab",FALSE,FALSE,2,"aliskerov vs park","Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5)","Aliskerov controls Park by clinging to Parkâs left ankle with his right hand, and he is warned for grabbing the fence with his free hand.","grabbing the fence",FALSE,FALSE,"Round 2","fence grab","Aliskerov",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC321-aspinall-gane-25-10-2025","Aliskerov vs Park","Aliskeov","groin strike",TRUE,FALSE,3,"aliskerov vs park","Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5)","Aliskerov kicks the inner thigh, and his foot slides up and bangs into the cup.","bangs into the cup",FALSE,TRUE,"Round 1","groin strike","Aliskerov",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC321-aspinall-gane-25-10-2025","Aliskerov vs Park","Aliskeov","eye poke",FALSE,FALSE,4,"aliskerov vs park","Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5)","Aliskerov walks him down and knees him in the stomach, pushing off the face as Park feels he was poked in the eyes.","poked in the eyes",FALSE,FALSE,"Round 1","eye poke","Aliskerov",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC321-aspinall-gane-25-10-2025","Aliskerov vs Park","Aliskeov","groin strike",FALSE,FALSE,5,"aliskerov vs park","Ikram Aliskerov (185.5) vs. Jun Yong Park (185.5)","Park wipes at his face and gets right back into the fray, and Aliskerov kicks him in the stomach as his heel scrapes down to bump into the groin cup.","scrapes down to bump into the groin cup",FALSE,FALSE,"Round 2","groin strike","Aliskerov",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC321-aspinall-gane-25-10-2025",NA,NA,NA,NA,NA,1,"bautista vs nurmagomedov","Mario Bautista (135.5) vs. Umar Nurmagomedov (136)","Nurmagomedov wraps his arm around the back of the head to keep Bautista on the floor, bowling him back over with his shoulder.","back of the head",FALSE,FALSE,"Round 1","back of head strike","Nurmagomedov",FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFC322-dellamaddalena-makhachev-15-11-2025","Maddalena vs Makhachev","Della Maddalena","illegal upkick",FALSE,FALSE,1,"maddalena vs makhachev","UFC Welterweight Title Fight:
Jack Della Maddalena (169.8) vs. Islam Makhachev (170)","The round ends with Maddalena landing an illegal upkick on Makhachev, who had a knee down.","illegal upkick",FALSE,FALSE,"Round 1","illegal upkick","Maddalena",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-105-emmett-murphy-05-04-2025","Lee vs Romious","Ho Lee","groin strike",TRUE,FALSE,1,"lee vs romious","Chang Ho Lee (136) vs. Cortavious Romious (139.5: Missed Weight)","Lee jumps at him, and his knee loudly bangs into the cup.","knee loudly bangs into the cup",FALSE,TRUE,"Round 2","groin strike","Lee",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-105-emmett-murphy-05-04-2025","Emmett vs Murphy","Emmett","eye poke",TRUE,FALSE,1,"emmett vs murphy","Josh Emmett (146) vs. Lerone Murphy (145.5)","Murphy's low kicks irritate Emmett, and he pushes off and jams his fingers into Murphyâs eye sockets.","eye poke",FALSE,TRUE,"Round 3","eye poke","UNKNOWN",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-105-emmett-murphy-05-04-2025","Alencar vs Demopoulos","Alencar","fence grab",FALSE,FALSE,1,"alencar vs demopoulos","Talita Alencar (115) vs. Vanessa Demopoulos (116)","Alencar uses her left arm to pressure behind Demopoulosâs neck, and she is warned for grabbing the fence when imposing her weight on her opponent.","grabbing the fence",FALSE,FALSE,"Round 1","fence grab","Demopoulos",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-106-burns-morales-17-05-2025","Yusuff vs Santos","Yusuff","back of head strike",FALSE,FALSE,2,"yusuff vs santos","Sodiq Yusuff (155.5) vs. Mairon Santos (155.5)","Santos times a spin to deliver a punch that inadvertently lands in the back of the head, and they both plant their feet and bust one another in the chops with fierce right hands.","punch that inadvertently lands in the back of the head",FALSE,FALSE,"Round 2","back of head strike","Santos",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-106-burns-morales-17-05-2025","Yusuff vs Santos","Santos","back of head strike",FALSE,FALSE,3,"yusuff vs santos","Sodiq Yusuff (155.5) vs. Mairon Santos (155.5)","Yusuff winds up with an inside low kick that grazes the cup, and Santos frowns but does not ask for a timeout.","kick that grazes the cup",FALSE,FALSE,"Round 1","groin strike","Yusuff",FALSE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-107-blanchfield-barber-31-05-2025","Filho vs Nascimento","Nascimento","fence grab",FALSE,FALSE,3,"filho vs nascimento","Jafel Filho (126) vs. Allan Nascimento (127.5: Missed Weight)","Filho spins around, is warned for fence grabs, and is tripped down to the canvas.","fence grab",FALSE,FALSE,"Round 3","fence grab","Filho",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-107-blanchfield-barber-31-05-2025","Filho vs Nascimento","Filho","fence grab",FALSE,FALSE,4,"filho vs nascimento","Jafel Filho (126) vs. Allan Nascimento (127.5: Missed Weight)","Nascimento grabs the fence a few times, keeping himself from being taken down because of it.","grabs the fence",FALSE,FALSE,"Round 2","fence grab","Nascimento",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-107-blanchfield-barber-31-05-2025","Santos vs Ardelean","dos Santos","fence grab",FALSE,FALSE,1,"santos vs ardelean","Rayanne dos Santos (116) vs. Alice Ardelean (115.5)","Dos Santos pulls on the fence to work her way upright, and Ardelean is on her putting her fists in dos Santosâ face.","pulls on the fence",FALSE,FALSE,"Round 2","fence grab","Santos",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
"UFCvegas-107-blanchfield-barber-31-05-2025","Santos vs Ardelean","dos Santos","eye poke",FALSE,FALSE,2,"santos vs ardelean","Rayanne dos Santos (116) vs. Alice Ardelean (115.5)","Dos Santos pushes off with her fingers out, and they jam into Ardeleanâs eye socket.","eye poke",FALSE,FALSE,"Round 2","eye poke","Santos",TRUE,FALSE,TRUE,TRUE,FALSE,0.85,0.74,0.93,0.95,0.66
